id,frequency,frequency_short,last_updated,notes,observation_end,observation_start,popularity,realtime_end,realtime_start,seasonal_adjustment,seasonal_adjustment_short,title,units,units_short
BAA10Y,Daily,D,2018-09-28 15:51:02-05,,,,,,,,,,,
T10YFF,Daily,D,2018-09-28 15:51:33-05,,,,,,,,,,,
T5YIE,Daily,D,2018-09-28 15:51:33-05,,,,,,,,,,,
T10Y2YM,Monthly,M,2018-09-04 15:51:17-05,,,,,,,,,,,
AAA10Y,Daily,D,2018-09-28 15:51:02-05,,,,,,,,,,,
DSWP10,Daily,D,2016-10-31 15:26:29-05,,,,,,,,,,,
MSWP5,Monthly,M,2016-10-03 15:47:10-05,,,,,,,,,,,
WSWP2,"Weekly, Ending Friday",W,2016-10-31 15:45:19-05,,,,,,,,,,,
DSWP5,Daily,D,2016-10-31 15:41:43-05,,,,,,,,,,,
DSWP1,Daily,D,2016-10-31 15:28:17-05,,,,,,,,,,,
DSWP3,Daily,D,2016-10-31 15:37:23-05,,,,,,,,,,,
DSWP30,Daily,D,2016-10-31 15:43:20-05,,,,,,,,,,,
WSWP7,"Weekly, Ending Friday",W,2016-10-31 15:52:07-05,,,,,,,,,,,
DSWP4,Daily,D,2016-10-31 15:40:57-05,,,,,,,,,,,
MSWP10,Monthly,M,2016-10-03 15:47:09-05,,,,,,,,,,,
USD3MTD156N,Daily,D,2018-09-28 07:01:05-05,,,,,,,,,,,
USD1MTD156N,Daily,D,2018-09-28 07:01:05-05,,,,,,,,,,,
USD12MD156N,Daily,D,2018-09-28 07:01:05-05,,,,,,,,,,,
USD6MTD156N,Daily,D,2018-09-28 07:01:05-05,,,,,,,,,,,
GBP3MTD156N,Daily,D,2018-09-28 07:01:04-05,,,,,,,,,,,
USDONTD156N,Daily,D,2018-09-28 07:01:06-05,,,,,,,,,,,
EUR3MTD156N,Daily,D,2018-09-28 07:01:03-05,,,,,,,,,,,
JPY3MTD156N,Daily,D,2018-09-28 07:01:05-05,,,,,,,,,,,
USD2MTD156N,Daily,D,2018-09-28 07:01:05-05,,,,,,,,,,,
USD1WKD156N,Daily,D,2018-09-28 07:01:05-05,,,,,,,,,,,
WSLB20,"Weekly, As of Thursday",W,2016-10-07 15:46:02-05,,,,,,,,,,,
LTGOVTBD,Monthly,M,2006-06-07 15:42:57-05,,,,,,,,,,,
DLTBOARD,Daily,D,2000-06-30 00:00:00-05,,,,,,,,,,,
LTGS,"Weekly, Ending Friday",W,2006-07-27 09:08:55-05,,,,,,,,,,,
MSLB20,Monthly,M,2016-10-03 15:47:09-05,,,,,,,,,,,
LTBOARD,"Weekly, Ending Friday",W,2006-07-27 11:59:04-05,,,,,,,,,,,
MMNRNJ,"Weekly, As of Monday",W,2018-09-24 14:01:01-05,,,,,,,,,,,
MMNRJD,"Weekly, As of Monday",W,2018-09-24 14:01:02-05,,,,,,,,,,,
MMRCJD,"Weekly, As of Monday",W,2018-09-24 14:01:02-05,,,,,,,,,,,
MMRCNJ,"Weekly, As of Monday",W,2018-09-24 14:01:02-05,,,,,,,,,,,
MORTGAGE30US,"Weekly, Ending Thursday",W,2018-09-27 11:31:31-05,,,,,,,,,,,
MORTGAGE15US,"Weekly, Ending Thursday",W,2018-09-27 11:31:31-05,,,,,,,,,,,
MORTG,Monthly,M,2016-10-03 15:47:08-05,,,,,,,,,,,
MORTGAGE5US,"Weekly, Ending Thursday",W,2018-09-27 11:31:31-05,,,,,,,,,,,
MORTPTS30US,"Weekly, Ending Thursday",W,2018-09-27 11:31:31-05,,,,,,,,,,,
MORTMRGN5US,"Weekly, Ending Thursday",W,2018-09-27 11:31:31-05,,,,,,,,,,,
MORTGAGE1US,"Weekly, Ending Thursday",W,2015-12-31 10:16:04-06,,,,,,,,,,,
WRMORTG,"Weekly, Ending Thursday",W,2016-10-07 15:46:02-05,,,,,,,,,,,
FHA30,Monthly,M,2006-06-07 15:42:36-05,,,,,,,,,,,
MORTPTS15US,"Weekly, Ending Thursday",W,2018-09-27 11:31:31-05,,,,,,,,,,,
TERMCBPER24NS,Monthly,M,2018-07-09 14:51:02-05,,,,,,,,,,,
MPRIME,Monthly,M,2018-09-04 15:41:02-05,,,,,,,,,,,
PRIME,Not Applicable,,2018-08-02 16:27:44-05,,,,,,,,,,,
DPRIME,Daily,D,2018-09-28 15:41:03-05,,,,,,,,,,,
WPRIME,"Weekly, Ending Wednesday",W,2018-09-27 15:41:06-05,,,,,,,,,,,
SAVNRNJ,"Weekly, As of Monday",W,2018-09-24 14:01:01-05,,,,,,,,,,,
SAVRCNJ,"Weekly, As of Monday",W,2018-09-24 14:01:02-05,,,,,,,,,,,
TB3MS,Monthly,M,2018-09-04 15:41:02-05,,,,,,,,,,,
DTB3,Daily,D,2018-09-28 15:41:03-05,,,,,,,,,,,
TB1YR,Monthly,M,2018-09-04 15:41:03-05,,,,,,,,,,,
DTB6,Daily,D,2018-09-28 15:41:02-05,,,,,,,,,,,
WTB3MS,"Weekly, Ending Friday",W,2018-09-24 15:41:02-05,,,,,,,,,,,
TB4WK,Monthly,M,2018-09-04 15:41:03-05,,,,,,,,,,,
DTB1YR,Daily,D,2018-09-28 15:41:03-05,,,,,,,,,,,
TB6MS,Monthly,M,2018-09-04 15:41:04-05,,,,,,,,,,,
DTB4WK,Daily,D,2018-09-28 15:41:02-05,,,,,,,,,,,
TB3MA,Monthly,M,2000-06-01 00:00:00-05,,,,,,,,,,,
DGS10,Daily,D,2018-09-28 15:41:04-05,,,,,,,,,,,
DGS2,Daily,D,2018-09-28 15:41:04-05,,,,,,,,,,,
DGS1,Daily,D,2018-09-28 15:41:04-05,,,,,,,,,,,
DFII10,Daily,D,2018-09-28 15:41:05-05,,,,,,,,,,,
GS10,Monthly,M,2018-09-04 15:41:02-05,,,,,,,,,,,
DGS5,Daily,D,2018-09-28 15:41:04-05,,,,,,,,,,,
DGS30,Daily,D,2018-09-28 15:41:04-05,,,,,,,,,,,
DGS1MO,Daily,D,2018-09-28 15:41:04-05,,,,,,,,,,,
DGS3MO,Daily,D,2018-09-28 15:41:04-05,,,,,,,,,,,
WGS10YR,"Weekly, Ending Friday",W,2018-09-24 15:41:02-05,,,,,,,,,,,
DFII10,Daily,D,2018-09-28 15:41:05-05,"For further information regarding treasury constant maturity data, please refer to http://www.federalreserve.gov/releases/h15/current/h15.pdf and http://www.treasury.gov/resource-center/data-chart-center/interest-rates/Pages/yieldmethod.aspx.",2018-09-27,2003-01-02,79,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,"10-Year Treasury Inflation-Indexed Security, Constant Maturity",Percent,%
DFII5,Daily,D,2018-09-28 15:41:05-05,"For further information regarding treasury constant maturity data, please refer to http://www.federalreserve.gov/releases/h15/current/h15.pdf and http://www.treasury.gov/resource-center/data-chart-center/interest-rates/Pages/yieldmethod.aspx.",2018-09-27,2003-01-02,66,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,"5-Year Treasury Inflation-Indexed Security, Constant Maturity",Percent,%
DFII30,Daily,D,2018-09-28 15:41:05-05,"For further information regarding treasury constant maturity data, please refer to http://www.federalreserve.gov/releases/h15/current/h15.pdf and http://www.treasury.gov/resource-center/data-chart-center/interest-rates/Pages/yieldmethod.aspx.",2018-09-27,2010-02-22,58,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,"30-Year Treasury Inflation-Indexed Security, Constant Maturity",Percent,%
FII10,Monthly,M,2018-09-04 15:41:03-05,"For further information regarding treasury constant maturity data, please refer to http://www.federalreserve.gov/releases/h15/current/h15.pdf and http://www.treasury.gov/resource-center/data-chart-center/interest-rates/Pages/yieldmethod.aspx.",2018-08-01,2003-01-01,57,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,"10-Year Treasury Inflation-Indexed Security, Constant Maturity",Percent,%
DFII7,Daily,D,2018-09-28 15:41:05-05,"For further information regarding treasury constant maturity data, please refer to http://www.federalreserve.gov/releases/h15/current/h15.pdf and http://www.treasury.gov/resource-center/data-chart-center/interest-rates/Pages/yieldmethod.aspx.",2018-09-27,2003-01-02,55,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,"7-Year Treasury Inflation-Indexed Security, Constant Maturity",Percent,%
DFII20,Daily,D,2018-09-28 15:41:05-05,"For further information regarding treasury constant maturity data, please refer to http://www.federalreserve.gov/releases/h15/current/h15.pdf and http://www.treasury.gov/resource-center/data-chart-center/interest-rates/Pages/yieldmethod.aspx.",2018-09-27,2004-07-27,50,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,"20-Year Treasury Inflation-Indexed Security, Constant Maturity",Percent,%
DLTIIT,Daily,D,2018-09-28 15:41:03-05,Based on the unweighted average bid yields for all TIPS with remaining terms to maturity of more than 10 years.,2018-09-27,2003-01-02,44,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,Treasury Inflation-Indexed Long-Term Average Yield,Percent,%
DTP30A28,Daily,D,2018-09-28 06:01:02-05,"Yield to maturity on accrued principal. Treasury Inflation-Protected Securities, or TIPS, are securities whose principal is tied to the Consumer Price Index (CPI). The principal increases with inflation and decreases with deflation. When the security matures, the U.S. Treasury pays the original or adjusted principal, whichever is greater. Copyright, 2016, Haver Analytics. Reprinted with permission.",2018-09-27,1998-04-13,39,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,"30-Year 3-5/8% Treasury Inflation-Indexed Bond, Due 4/15/2028",Percent,%
WFII10,"Weekly, Ending Friday",W,2018-09-24 15:41:03-05,"For further information regarding treasury constant maturity data, please refer to http://www.federalreserve.gov/releases/h15/current/h15.pdf and http://www.treasury.gov/resource-center/data-chart-center/interest-rates/Pages/yieldmethod.aspx.",2018-09-21,2003-01-03,38,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,"10-Year Treasury Inflation-Indexed Security, Constant Maturity",Percent,%
FII5,Monthly,M,2018-09-04 15:41:04-05,"For further information regarding treasury constant maturity data, please refer to http://www.federalreserve.gov/releases/h15/current/h15.pdf and http://www.treasury.gov/resource-center/data-chart-center/interest-rates/Pages/yieldmethod.aspx.",2018-08-01,2003-01-01,32,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,"5-Year Treasury Inflation-Indexed Security, Constant Maturity",Percent,%
DEXUSEU,Daily,D,2018-09-24 15:51:01-05,Noon buying rates in New York City for cable transfers payable in foreign currencies.,2018-09-21,1999-01-04,81,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,U.S. / Euro Foreign Exchange Rate,U.S. Dollars to One Euro,U.S. $ to  1 Euro
DTWEXM,Daily,D,2018-09-24 15:51:02-05,"A weighted average of the foreign exchange value of the U.S. dollar against a subset of the broad index currencies that circulate widely outside the country of issue. Major currencies index includes the Euro Area, Canada, Japan, United Kingdom, Switzerland, Australia, and Sweden. For more information about trade-weighted indexes see http://www.federalreserve.gov/pubs/bulletin/2005/winter05_index.pdf.",2018-09-21,1973-01-02,78,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,Trade Weighted U.S. Dollar Index: Major Currencies,Index Mar 1973=100,Index Mar 1973=100
DEXCHUS,Daily,D,2018-09-24 15:51:02-05,Noon buying rates in New York City for cable transfers payable in foreign currencies.,2018-09-21,1981-01-02,72,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,China / U.S. Foreign Exchange Rate,Chinese Yuan to One U.S. Dollar,Chinese Yuan to  1 U.S. $
DEXJPUS,Daily,D,2018-09-24 15:51:02-05,Noon buying rates in New York City for cable transfers payable in foreign currencies.,2018-09-21,1971-01-04,70,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,Japan / U.S. Foreign Exchange Rate,Japanese Yen to One U.S. Dollar,Japanese Yen to  1 U.S. $
DTWEXB,Daily,D,2018-09-24 15:51:02-05,"A weighted average of the foreign exchange value of the U.S. dollar against the currencies of a broad group of major U.S. trading partners. Broad currency index includes the Euro Area, Canada, Japan, Mexico, China, United Kingdom, Taiwan, Korea, Singapore, Hong Kong, Malaysia, Brazil, Switzerland, Thailand, Philippines, Australia, Indonesia, India, Israel, Saudi Arabia, Russia, Sweden, Argentina, Venezuela, Chile and Colombia. For more information about trade-weighted indexes see http://www.federalreserve.gov/pubs/bulletin/2005/winter05_index.pdf.",2018-09-21,1995-01-04,69,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,Trade Weighted U.S. Dollar Index: Broad,Index Jan 1997=100,Index Jan 1997=100
DEXUSUK,Daily,D,2018-09-24 15:51:02-05,Noon buying rates in New York City for cable transfers payable in foreign currencies.,2018-09-21,1971-01-04,68,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,U.S. / U.K. Foreign Exchange Rate,U.S. Dollars to One British Pound,U.S. $ to  1 British Pound
DEXCAUS,Daily,D,2018-09-24 15:51:03-05,Noon buying rates in New York City for cable transfers payable in foreign currencies.,2018-09-21,1971-01-04,64,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,Canada / U.S. Foreign Exchange Rate,Canadian Dollars to One U.S. Dollar,Canadian $ to  1 U.S. $
DEXMXUS,Daily,D,2018-09-24 15:51:03-05,Noon buying rates in New York City for cable transfers payable in foreign currencies.,2018-09-21,1993-11-08,64,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,Mexico / U.S. Foreign Exchange Rate,Mexican New Pesos to One U.S. Dollar,Mexican New Pesos to  1 U.S. $
DEXKOUS,Daily,D,2018-09-24 15:51:04-05,Noon buying rates in New York City for cable transfers payable in foreign currencies.,2018-09-21,1981-04-13,60,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,South Korea / U.S. Foreign Exchange Rate,South Korean Won to One U.S. Dollar,South Korean Won to  1 U.S. $
DEXBZUS,Daily,D,2018-09-24 15:51:04-05,Noon buying rates in New York City for cable transfers payable in foreign currencies.,2018-09-21,1995-01-02,59,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,Brazil / U.S. Foreign Exchange Rate,Brazilian Reals to One U.S. Dollar,Brazilian Reals to  1 U.S. $
EXCHUS,Monthly,M,2018-09-24 15:51:04-05,"Averages of daily figures. Noon buying rates in New York City for cable transfers payable in foreign currencies.  This data series is updated from the source files in the Data Download Program (http://www.federalreserve.gov/datadownload/Choose.aspx?rel=h10). The files are updated on a weekly basis every Monday. If Monday is a holiday, the data files are updated the next business day.  Monthly values are averages of the daily data available. Preliminary value for the current month is provided by the source even if not all daily values are available for the entire month.  Please note that the values reported on the press release may not correspond to the values in the Data Download Program when the press release is published on a day other than Monday. This inconsistency is resolved on the next available weekly release date.",2018-09-01,1981-01-01,68,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,China / U.S. Foreign Exchange Rate,Chinese Yuan to One U.S. Dollar,Chinese Yuan to  1 U.S. $
EXUSEU,Monthly,M,2018-09-24 15:51:03-05,"Averages of daily figures. Noon buying rates in New York City for cable transfers payable in foreign currencies.  This data series is updated from the source files in the Data Download Program (http://www.federalreserve.gov/datadownload/Choose.aspx?rel=h10). The files are updated on a weekly basis every Monday. If Monday is a holiday, the data files are updated the next business day.  Monthly values are averages of the daily data available. Preliminary value for the current month is provided by the source even if not all daily values are available for the entire month.  Please note that the values reported on the press release may not correspond to the values in the Data Download Program when the press release is published on a day other than Monday. This inconsistency is resolved on the next available weekly release date.",2018-09-01,1999-01-01,65,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,U.S. / Euro Foreign Exchange Rate,U.S. Dollars to One Euro,U.S. $ to  1 Euro
TWEXMMTH,Monthly,M,2018-09-24 15:51:03-05,"Averages of daily figures. A weighted average of the foreign exchange value of the U.S. dollar against a subset of the broad index currencies that circulate widely outside the country of issue. Major currency index includes the Euro Area, Canada, Japan, United Kingdom, Switzerland, Australia, and Sweden. For more information about trade-weighted indexes see http://www.federalreserve.gov/pubs/bulletin/2005/winter05_index.pdf.  This data series is updated from the source files in the Data Download Program (http://www.federalreserve.gov/datadownload/Choose.aspx?rel=h10). The files are updated on a weekly basis every Monday. If Monday is a holiday, the data files are updated the next business day.  Monthly values are averages of the daily data available. Preliminary value for the current month is provided by the source even if not all daily values are available for the entire month.  Please note that the values reported on the press release may not correspond to the values in the Data Download Program when the press release is published on a day other than Monday. This inconsistency is resolved on the next available weekly release date.",2018-09-01,1973-01-01,63,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,Trade Weighted U.S. Dollar Index: Major Currencies,Index Mar 1973=100,Index Mar 1973=100
TWEXBMTH,Monthly,M,2018-09-24 15:51:03-05,"Averages of daily figures. A weighted average of the foreign exchange value of the U.S. dollar against the currencies of a broad group of major U.S. trading partners. Broad currency index includes the Euro Area, Canada, Japan, Mexico, China, United Kingdom, Taiwan, Korea, Singapore, Hong Kong, Malaysia, Brazil, Switzerland, Thailand, Philippines, Australia, Indonesia, India, Israel, Saudi Arabia, Russia, Sweden, Argentina, Venezuela, Chile and Colombia. For more information about trade-weighted indexes see http://www.federalreserve.gov/pubs/bulletin/2005/winter05_index.pdf.  This data series is updated from the source files in the Data Download Program (http://www.federalreserve.gov/datadownload/Choose.aspx?rel=h10). The files are updated on a weekly basis every Monday. If Monday is a holiday, the data files are updated the next business day.  Monthly values are averages of the daily data available. Preliminary value for the current month is provided by the source even if not all daily values are available for the entire month.  Please note that the values reported on the press release may not correspond to the values in the Data Download Program when the press release is published on a day other than Monday. This inconsistency is resolved on the next available weekly release date.",2018-09-01,1973-01-01,63,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,Trade Weighted U.S. Dollar Index: Broad,Index Jan 1997=100,Index Jan 1997=100
EXJPUS,Monthly,M,2018-09-24 15:51:03-05,"Averages of daily figures. Noon buying rates in New York City for cable transfers payable in foreign currencies.  This data series is updated from the source files in the Data Download Program (http://www.federalreserve.gov/datadownload/Choose.aspx?rel=h10). The files are updated on a weekly basis every Monday. If Monday is a holiday, the data files are updated the next business day.  Monthly values are averages of the daily data available. Preliminary value for the current month is provided by the source even if not all daily values are available for the entire month.  Please note that the values reported on the press release may not correspond to the values in the Data Download Program when the press release is published on a day other than Monday. This inconsistency is resolved on the next available weekly release date.",2018-09-01,1971-01-01,61,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,Japan / U.S. Foreign Exchange Rate,Japanese Yen to One U.S. Dollar,Japanese Yen to  1 U.S. $
EXCAUS,Monthly,M,2018-09-24 15:51:04-05,"Averages of daily figures. Noon buying rates in New York City for cable transfers payable in foreign currencies.  This data series is updated from the source files in the Data Download Program (http://www.federalreserve.gov/datadownload/Choose.aspx?rel=h10). The files are updated on a weekly basis every Monday. If Monday is a holiday, the data files are updated the next business day.  Monthly values are averages of the daily data available. Preliminary value for the current month is provided by the source even if not all daily values are available for the entire month.  Please note that the values reported on the press release may not correspond to the values in the Data Download Program when the press release is published on a day other than Monday. This inconsistency is resolved on the next available weekly release date.",2018-09-01,1971-01-01,61,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,Canada / U.S. Foreign Exchange Rate,Canadian Dollars to One U.S. Dollar,Canadian $ to  1 U.S. $
EXINUS,Monthly,M,2018-09-24 15:51:04-05,"Averages of daily figures. Noon buying rates in New York City for cable transfers payable in foreign currencies.  This data series is updated from the source files in the Data Download Program (http://www.federalreserve.gov/datadownload/Choose.aspx?rel=h10). The files are updated on a weekly basis every Monday. If Monday is a holiday, the data files are updated the next business day.  Monthly values are averages of the daily data available. Preliminary value for the current month is provided by the source even if not all daily values are available for the entire month.  Please note that the values reported on the press release may not correspond to the values in the Data Download Program when the press release is published on a day other than Monday. This inconsistency is resolved on the next available weekly release date.",2018-09-01,1973-01-01,57,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,India / U.S. Foreign Exchange Rate,Indian Rupees to One U.S. Dollar,Indian Rupees to  1 U.S. $
EXVZUS,Monthly,M,2018-09-24 15:51:06-05,"Averages of daily figures. Noon buying rates in New York City for cable transfers payable in foreign currencies.  This data series is updated from the source files in the Data Download Program (http://www.federalreserve.gov/datadownload/Choose.aspx?rel=h10). The files are updated on a weekly basis every Monday. If Monday is a holiday, the data files are updated the next business day.  Monthly values are averages of the daily data available. Preliminary value for the current month is provided by the source even if not all daily values are available for the entire month.  Please note that the values reported on the press release may not correspond to the values in the Data Download Program when the press release is published on a day other than Monday. This inconsistency is resolved on the next available weekly release date.",2018-09-01,1995-01-01,55,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,Venezuela / U.S. Foreign Exchange Rate,Venezuelan Bolivares to One U.S. Dollar,Venezuelan Bolivares to  1 U.S. $
EXGEUS,Monthly,M,2006-03-08 09:21:34-06,Averages of daily figures. Noon buying rates in New York City for cable transfers payable in foreign currencies. Starting January 1999 derived using the official fixed euro conversion rates.,2001-12-01,1971-01-01,54,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,Germany / U.S. Foreign Exchange Rate (DISCONTINUED),German Deutsche Marks to One U.S. Dollar,German Deutsche Marks to  1 U.S. $
EXUSUK,Monthly,M,2018-09-24 15:51:04-05,"Averages of daily figures. Noon buying rates in New York City for cable transfers payable in foreign currencies.  This data series is updated from the source files in the Data Download Program (http://www.federalreserve.gov/datadownload/Choose.aspx?rel=h10). The files are updated on a weekly basis every Monday. If Monday is a holiday, the data files are updated the next business day.  Monthly values are averages of the daily data available. Preliminary value for the current month is provided by the source even if not all daily values are available for the entire month.  Please note that the values reported on the press release may not correspond to the values in the Data Download Program when the press release is published on a day other than Monday. This inconsistency is resolved on the next available weekly release date.",2018-09-01,1971-01-01,52,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,U.S. / U.K. Foreign Exchange Rate,U.S. Dollars to One British Pound,U.S. $ to  1 British Pound
AEXCHUS,Annual,A,2018-01-03 13:31:02-06,Averages of daily figures. Noon buying rates in New York City for cable transfers payable in foreign currencies.,2017-01-01,1981-01-01,44,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,China / U.S. Foreign Exchange Rate,Chinese Yuan to One U.S. Dollar,Chinese Yuan to  1 U.S. $
